date Absolute_residuals_Cab Absolute_residuals_Car Absolute_residuals_LAI Absolute_residuals_LMA Green_pixels_ratio
jul062 17.95840385 2.899005128 1.594423718 0.000450769 0.1304
jul202 4.07087037 3.213350617 0.673908642 0.009281074 0.0475
sep202 25.30424691 3.208903704 0.259612346 0.002669111 0.6976
oct112 24.75474074 3.259918519 0.348869136 0.004719481 0.5636
     
     
4-May 2.742666667 1.207933333 1.0893 0.001685333 0.8301
24-May 12.76972222 1.023811111 2.301943056 0.002390333 0.7258
7-Jun 4.646277778 0.187622222 3.787472222 0.002940667 0.4698
21-Jun 9.025111111 4.953955556 1.501466667 0.002798333 0.0373
6-Jul 9.067901235 0.392125926 1.535880247 0.004598926 0.028
20-Jul 0.319740741 1.721049383 2.231681481 0.00605584 0.0021
20-Sep 2.059561728 3.837219753 0.132985802 0.000784519 0.8843
11-Oct 21.3287963 0.738651852 1.461634568 0.00278263 0.777
4-May 14.10666667 2.457755556 0.388144444 0.001546 0.8252
24-May 22.47955556 0.662703704 1.194038889 0.001798911 0.875
7-Jun 1.915185185 1.23897037 6.639851852 0.001513178 0.6554
21-Jun 3.791666667 2.128666667 1.752133333 0.002529667 0.0175
6-Jul 8.688246914 3.659071605 2.783644444 0.004122193 0.0091
20-Sep 45.71228395 0.349945679 0.804412346 0.004073704 0.8403
11-Oct 52.40303704 2.2536 0.496053086 0.004158926 0.7501
4-May 8.504166667 1.767022222 1.132966667 0.003027333 0.8568
24-May 26.54103704 6.017059259 1.789544444 0.003454778 0.85
7-Jun 3.545111111 1.24042963 1.831022222 0.000121 0.5571
21-Jun 5.7325 2.703555556 1.228044444 0.0071328 0.0929
6-Jul 0.053598765 1.67182963 1.999537037 0.004057037 0.0665
20-Jul 2.02962963 0.243506173 2.1819 0.006748556 0.0475
20-Sep 18.36280247 1.975395062 0.884974074 0.001764741 0.8382
11-Oct 19.66208642 1.487735802 1.075759259 0.002495333 0.7759
     
     
4-May 6.690458333 0.548066667 3.248444444 0.002813519 0.7997
7-Jun 16.42715278 0.388193056 1.187281944 0.003562092 0.2887
21-Jun 10.33966389 1.347584722 0.256755556 0.003801814 0.3832
6-Jul 1.863758333 0.5851675 0.376210667 0.007342833 0.533
20-Jul 4.52940463 1.797326852 0.204018426 0.005912244 0.4833
20-Sep 1.119830556 2.666201389 0.124155556 0.004788101 0.6627
11-Oct 5.645083333 0.603203241 0.917343148 0.004308539 0.6421
     
     
4-May 26.45878333 6.182151389 2.973983333 0.004020258 0.8631
24-May 3.698405556 2.934401389 0.784404167 0.0019553 0.8249
7-Jun 11.96089444 2.357525 0.058011111 0.005111278 0.8415
6-Jul 17.02736019 3.996048148 1.099101111 0.00220566 0.3575
20-Jul 35.60531019 5.45628287 0.95465 0.00471922 0.3016
20-Sep 8.691861111 4.681739352 0.447420833 0.000858177 0.9291
11-Oct 16.08884352 3.47808287 1.493338889 0.002989214 0.8014
     
     
4-May 10.96325385 2.602385897 2.678541026 0.003883477 0.8392
24-May 11.50493333 1.846013636 2.556830303 0.003400864 0.9093
7-Jun 31.74641389 6.361340278 1.864558333 0.006611658 0.7207
21-Jun 17.83495278 3.925236111 1.743298611 0.006234128 0.5656
6-Jul 34.23371132 5.995225472 0.193480818 0.002528638 0.2571
20-Jul 9.309549074 0.904589352 1.421396296 0.003867375 0.0921
20-Sep 14.544175 2.30884213 0.23131713 6.59E-05 0.7846
11-Oct 23.17026389 4.89066713 0.243841204 0.001963637 0.5882
     
     
4-May 13.28552222 3.233705556 3.490022222 0.0036879 0.8428
24-May 5.568759259 2.353838889 2.256792593 0.000342841 0.8511
7-Jun 22.2208037 2.875403704 2.775396296 0.00724933 0.5819
21-Jun 12.78315556 1.16825 1.264718889 0.000357822 0.166
6-Jul 11.13090988 3.698335185 1.894541358 0.006023635 0.0896
20-Jul 8.953335802 1.766396914 1.269644321 0.004623914 0.0244
20-Sep 22.19133704 0.004925926 0.872982716 0.00308156 0.8219
11-Oct 42.54671235 6.328966049 1.197370988 0.006640535 0.6982
may041 13.55208889 3.616188889 2.450938889 0.003491411 0.7021
may241 3.135 0.912951852 2.28065 0.001185789 0.8289
jun071 1.96037037 1.105261111 2.458290741 0.001089804 0.5471
jun211 14.57066667 2.256427778 0.7698 0.000102689 0.1794
jul061 30.61030247 5.622623457 0.897264691 0.007790233 0.1195
jul201 1.879522222 0.086991358 1.004570988 0.004370889 0.0324
sep201 15.2148284 3.023535185 0.522219753 0.003023326 0.7776
oct111 4.830398611 1.283910417 0.582629861 0.006005464 0.5826
may042 14.79022222 2.897683333 1.18223 0.002353378 0.7471
may242 15.98952963 0.954307407 3.149261111 0.002300048 0.8131
jun072 3.860822222 1.101542593 3.481925926 0.000607707 0.4515
jun212 2.780088889 0.224733333 0.936597778 0.000437256 0.1809
jul062 23.04911282 3.814655128 0.428212821 0.006157123 0.1304
jul202 2.019634568 0.334855556 0.592853704 0.002617683 0.0475
sep202 25.57020617 4.412221605 0.59748642 0.002317515 0.6976
oct112 25.93564444 4.451679012 1.22146358 0.00474403 0.5636
     
     
4-May 4.914444444 0.55595 2.637511111 0.003832089 0.8301
24-May 2.380333333 2.035334722 1.421041667 0.003059367 0.7258
7-Jun 1.625503704 1.028444444 1.008253704 0.000336785 0.4698
21-Jun 3.748133333 0.169994444 1.308517778 0.002188744 0.0373
6-Jul 4.33897037 1.67657963 0.666045556 0.00107868 0.028
20-Jul 5.838560494 1.372473457 1.959414321 0.000236065 0.0021
20-Sep 5.070487654 4.11332716 0.156812963 5.97E-05 0.8843
11-Oct 10.81063827 1.868953704 0.088231481 0.001068044 0.777
4-May 12.39072222 3.09125 0.984333333 0.002402122 0.8252
24-May 17.4549963 1.299368519 1.979516667 0.00293947 0.875
7-Jun 1.976566667 0.052237037 0.828077778 0.001955263 0.6554
21-Jun 2.957211111 1.297172222 1.036073333 9.35E-05 0.0175
6-Jul 4.231096296 1.188562346 2.394854568 0.002408646 0.0091
20-Sep 31.75152716 0.477857407 0.646442593 0.002906342 0.8403
11-Oct 39.55318025 1.756716049 0.306951235 0.002470377 0.7501
4-May 6.229777778 1.725638889 2.673466667 0.002659067 0.8568
24-May 16.18772593 3.841381481 1.668553704 0.002876804 0.85
7-Jun 2.914918519 0.358387037 2.485077778 0.001629822 0.5571
21-Jun 1.081066667 0.274166667 0.744051111 0.003043478 0.0929
6-Jul 6.307755556 0.828119136 1.81109 0.001891338 0.0665
20-Jul 5.985274074 1.634814198 2.019891358 0.002305706 0.0475
20-Sep 14.07355185 1.433830864 0.694194444 0.000604699 0.8382
11-Oct 9.335746914 2.087703086 0.209890741 0.001128217 0.7759
